date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,112.50737762451172,0.07735346477962857,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.026813116105577028,0,0,0,-0.01,-2.0,114.11676025390624,0.1354712498108448,-0.036813116105577026,71.84185791015807,87.0,10000.0
2023-01-30,2,0.0,0,0,0,0.01,0.0,111.07574462890624,-0.19541977125490106,0.01,9735.431640625,0.0,9735.431640625
2023-01-31,0,0.0,0,0,0,0.0,0.0,106.83018493652344,-0.7098427676343255,0.0,9735.431640625,0.0,9735.431640625
2023-02-01,0,0.0,0,0,0,0.0,2.0,110.07852935791016,-0.5453755945355496,0.0,9735.431640625,0.0,9735.431640625
2023-02-02,0,0.0,0,0,0,0.0,0.0,117.50332641601562,0.20582858830171213,0.0,9735.431640625,0.0,9735.431640625
2023-02-03,0,0.0,0,0,0,0.0,0.0,122.6868667602539,0.8421904914949288,0.0,9735.431640625,0.0,9735.431640625
2023-02-06,0,0.0,0,0,0,0.0,0.0,118.46104431152344,0.5018131721298014,0.0,9735.431640625,0.0,9735.431640625
2023-02-07,0,0.0,0,0,0,0.0,0.0,116.20004272460938,0.023983025954240844,0.0,9735.431640625,0.0,9735.431640625
2023-02-08,0,0.0,0,0,0,0.0,-2.0,118.99421691894533,0.014383619865284025,0.0,9735.431640625,0.0,9735.431640625
2023-02-09,0,0.0,0,0,0,0.0,0.0,114.48206329345705,-0.4479801871218889,0.0,9735.431640625,0.0,9735.431640625
2023-02-10,0,0.0,0,0,0,0.0,0.0,114.61042785644533,-0.5885561813209157,0.0,9735.431640625,0.0,9735.431640625
2023-02-13,0,0.0,0,0,0,0.0,0.0,113.31700134277344,-0.6979368326174722,0.0,9735.431640625,0.0,9735.431640625
2023-02-14,0,0.0,0,0,0,0.0,0.0,115.05472564697266,-0.5050062838159306,0.0,9735.431640625,0.0,9735.431640625
2023-02-15,0,0.0,0,0,0,0.0,0.0,116.94054412841795,-0.21473260554909923,0.0,9735.431640625,0.0,9735.431640625
2023-02-16,0,0.0,0,0,0,0.0,0.0,117.9476318359375,-0.012644951862305742,0.0,9735.431640625,0.0,9735.431640625
2023-02-17,0,0.0,0,0,0,0.0,0.0,113.92914581298828,-0.3098024716727321,0.0,9735.431640625,0.0,9735.431640625
2023-02-21,0,0.0,0,0,0,0.0,0.0,113.97852325439452,-0.3832571021155514,0.0,9735.431640625,0.0,9735.431640625
2023-02-22,0,0.0,0,0,0,0.0,0.0,109.8711929321289,-0.711375287032147,0.0,9735.431640625,0.0,9735.431640625
2023-02-23,0,0.0,0,0,0,0.0,0.0,109.26750183105467,-0.76218977796165,0.0,9735.431640625,0.0,9735.431640625
2023-02-24,0,0.0,0,0,0,0.0,0.0,111.74163818359376,-0.42575404155458496,0.0,9735.431640625,0.0,9735.431640625
2023-02-27,0,0.0,0,0,0,0.0,0.0,110.15818786621094,-0.3483262881832625,0.0,9735.431640625,0.0,9735.431640625
2023-02-28,0,0.0,0,0,0,0.0,2.0,110.91033172607422,-0.17406897051258396,0.0,9735.431640625,0.0,9735.431640625
2023-03-01,0,0.0,0,0,0,0.0,0.0,114.9480972290039,0.28892985408006067,0.0,9735.431640625,0.0,9735.431640625
2023-03-02,0,0.0,0,0,0,0.0,0.0,116.04662322998048,0.5181941414627509,0.0,9735.431640625,0.0,9735.431640625
2023-03-03,0,0.0,0,0,0,0.0,0.0,117.22430419921876,0.6187471666981299,0.0,9735.431640625,0.0,9735.431640625
2023-03-06,0,0.0,0,0,0,0.0,0.0,117.7290267944336,0.5861758604033223,0.0,9735.431640625,0.0,9735.431640625
2023-03-07,0,0.0,0,0,0,0.0,0.0,117.3133773803711,0.42209203167102605,0.0,9735.431640625,0.0,9735.431640625
2023-03-08,0,0.0,0,0,0,0.0,0.0,115.16583251953124,0.08382611696257136,0.0,9735.431640625,0.0,9735.431640625
2023-03-09,0,0.0,0,0,0,0.0,-2.0,117.4222412109375,0.11843788649343134,0.0,9735.431640625,0.0,9735.431640625
2023-03-10,0,0.0,0,0,0,0.0,0.0,115.82889556884766,-0.04810348204595005,0.0,9735.431640625,0.0,9735.431640625
2023-03-13,0,0.0,0,0,0,0.0,0.0,113.2063217163086,-0.34606256773569133,0.0,9735.431640625,0.0,9735.431640625
2023-03-14,0,0.0,0,0,0,0.0,2.0,114.6413116455078,-0.28534534765293856,0.0,9735.431640625,0.0,9735.431640625
2023-03-15,0,0.0,0,0,0,0.0,0.0,119.09475708007812,0.1596096554473272,0.0,9735.431640625,0.0,9735.431640625
2023-03-16,0,0.0,0,0,0,0.0,0.0,117.2540054321289,0.12369446663111938,0.0,9735.431640625,0.0,9735.431640625
2023-03-17,0,0.0,0,0,0,0.0,0.0,121.5589828491211,0.44234043509114396,0.0,9735.431640625,0.0,9735.431640625
2023-03-20,0,0.0,0,0,0,0.0,0.0,121.33135986328124,0.4382766539298584,0.0,9735.431640625,0.0,9735.431640625
2023-03-21,0,0.0,0,0,0,0.0,0.0,122.75646209716795,0.4509028805388522,0.0,9735.431640625,0.0,9735.431640625
2023-03-22,0,0.0,0,0,0,0.0,-2.0,119.15412139892578,0.02910720360363217,0.0,9735.431640625,0.0,9735.431640625
2023-03-23,0,0.0,0,0,0,0.0,0.0,117.63005828857422,-0.2988581100766581,0.0,9735.431640625,0.0,9735.431640625
2023-03-24,0,0.0,0,0,0,0.0,0.0,121.50950622558594,-0.06541782812505081,0.0,9735.431640625,0.0,9735.431640625
2023-03-27,0,0.0,0,0,0,0.0,0.0,118.29312896728516,-0.2748164302063665,0.0,9735.431640625,0.0,9735.431640625
2023-03-28,0,0.0,0,0,0,0.0,0.0,117.63996124267578,-0.3850937879735482,0.0,9735.431640625,0.0,9735.431640625
2023-03-29,0,0.0,0,0,0,0.0,0.0,115.19551849365234,-0.5864049605602122,0.0,9735.431640625,0.0,9735.431640625
2023-03-30,0,0.0,0,0,0,0.0,2.0,118.60980987548828,-0.27325211334954286,0.0,9735.431640625,0.0,9735.431640625
2023-03-31,0,0.0,0,0,0,0.0,0.0,120.84642791748048,0.07616565149855864,0.0,9735.431640625,0.0,9735.431640625
2023-04-03,0,0.0,0,0,0,0.0,0.0,121.5589828491211,0.2442751429208344,0.0,9735.431640625,0.0,9735.431640625
2023-04-04,0,0.0,0,0,0,0.0,-2.0,121.05426025390624,0.20726426345922144,0.0,9735.431640625,0.0,9735.431640625
2023-04-05,0,0.0,0,0,0,0.0,0.0,118.87702178955078,-0.045192513916780586,0.0,9735.431640625,0.0,9735.431640625
2023-04-06,0,0.0,0,0,0,0.0,0.0,116.10599517822266,-0.38161179593976546,0.0,9735.431640625,0.0,9735.431640625
2023-04-10,0,0.0,0,0,0,0.0,0.0,113.26569366455078,-0.688163742349189,0.0,9735.431640625,0.0,9735.431640625
2023-04-11,0,0.0,0,0,0,0.0,0.0,115.2944793701172,-0.5001041278580598,0.0,9735.431640625,0.0,9735.431640625
2023-04-12,0,0.0,0,0,0,0.0,0.0,115.17572021484376,-0.34003475060270527,0.0,9735.431640625,0.0,9735.431640625
2023-04-13,0,0.0,0,0,0,0.0,0.0,111.98905181884766,-0.47640671621763486,0.0,9735.431640625,0.0,9735.431640625
2023-04-14,0,0.0,0,0,0,0.0,0.0,112.29583740234376,-0.389967228514448,0.0,9735.431640625,0.0,9735.431640625
2023-04-17,0,0.0,0,0,0,0.0,0.0,111.7317352294922,-0.3054831719522937,0.0,9735.431640625,0.0,9735.431640625
2023-04-18,0,0.0,0,0,0,0.0,0.0,110.63323211669922,-0.2777083984202928,0.0,9735.431640625,0.0,9735.431640625
2023-04-19,1,-0.00835424681034518,0,0,0,-0.01,0.0,110.1186065673828,-0.22117306603701126,-0.01835424681034518,44.99426269531432,88.0,9735.431640625
2023-04-20,0,0.035882164757251915,0,0,0,0.0,2.0,109.19822692871094,-0.19539384769684065,0.035882164757251915,44.99426269531432,88.0,9654.438232421877
2023-04-21,0,-0.00812655171133198,0,0,0,0.0,0.0,113.2063217163086,0.24008823787435096,-0.00812655171133198,44.99426269531432,88.0,10007.15057373047
2023-04-24,2,0.0,0,0,0,-0.01,0.0,112.2859344482422,0.32150326289539644,-0.01,9926.156494140629,0.0,9926.156494140629
2023-04-25,0,0.0,0,0,0,0.0,0.0,112.43437957763672,0.3445965358538252,0.0,9926.156494140629,0.0,9926.156494140629
2023-04-26,0,0.0,0,0,0,0.0,-2.0,109.4654312133789,0.06928690593094622,0.0,9926.156494140629,0.0,9926.156494140629
2023-04-27,1,0.012218275394605736,0,0,0,-0.01,2.0,109.16853332519533,-0.038295071619987464,0.0022182753946057357,100.9884948730487,90.0,9926.156494140629
2023-04-28,2,0.0,0,0,0,-0.01,0.0,110.52436065673828,0.07734542277378109,-0.01,10048.180953979494,0.0,10048.180953979494
2023-05-01,0,0.0,0,0,0,0.0,0.0,111.86038208007812,0.2512574884260641,0.0,10048.180953979494,0.0,10048.180953979494
2023-05-02,0,0.0,0,0,0,0.0,0.0,111.7812042236328,0.28993729161048876,0.0,10048.180953979494,0.0,10048.180953979494
2023-05-03,0,0.0,0,0,0,0.0,0.0,110.99940490722656,0.2070349936200352,0.0,10048.180953979494,0.0,10048.180953979494
