date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,144.42999267578125,0.7911277246165644,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.10373453657205511,0,0,0,-0.01,0.0,160.27000427246094,1.723986961931562,0.09373453657205512,63.259735107421875,62.0,10000.0
2023-01-30,0,-0.06488120222504613,0,0,0,0.0,0.0,177.89999389648438,3.074744158630793,-0.06488120222504613,63.259735107421875,62.0,11093.059356689453
2023-01-31,2,0.0,0,0,0,-0.01,0.0,166.66000366210938,1.8116603187133968,-0.01,10396.179962158203,0.0,10396.179962158203
2023-02-01,0,0.0,0,0,0,0.0,0.0,173.22000122070312,1.3113646340545735,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-02,0,0.0,0,0,0,0.0,0.0,181.41000366210935,1.299430533481912,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-03,0,0.0,0,0,0,0.0,0.0,188.2700042724609,1.3338224835495645,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-06,0,0.0,0,0,0,0.0,0.0,189.97999572753903,0.9158496032486738,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-07,0,0.0,0,0,0,0.0,0.0,194.75999450683597,0.6549572429301378,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-08,0,0.0,0,0,0,0.0,0.0,196.80999755859372,0.2539292556825181,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-09,0,0.0,0,0,0,0.0,0.0,201.2899932861328,0.07758353041025856,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-10,0,0.0,0,0,0,0.0,-2.0,207.32000732421875,0.14703644142209882,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-13,0,0.0,0,0,0,0.0,0.0,196.88999938964844,-1.118950068016792,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-14,0,0.0,0,0,0,0.0,0.0,194.63999938964844,-1.9287332081789597,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-15,0,0.0,0,0,0,0.0,0.0,209.25,-0.9488685644548607,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-16,0,0.0,0,0,0,0.0,0.0,214.2400054931641,-0.296637255331639,0.0,10396.179962158203,0.0,10396.179962158203
2023-02-17,0,0.0,0,0,0,0.0,0.0,202.0399932861328,-1.3504834988544232,0.0,10396.179962158203,0.0,10396.179962158203
