Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,145.8699951171875,146.02000427246094,145.0800018310547,145.97000122070312,129.055908203125,5777000
2020-01-03,143.5,145.3699951171875,143.0,144.27999877929688,127.56171417236328,5752400
2020-01-06,144.0,144.1999969482422,142.85000610351562,144.10000610351562,127.4026107788086,7731300
2020-01-07,144.00999450683594,145.4499969482422,141.3800048828125,144.97999572753906,128.1806182861328,7382900
2020-01-08,144.8699951171875,145.97999572753906,143.6999969482422,144.9600067138672,128.16294860839844,6605800
2020-01-09,145.75999450683594,146.02999877929688,144.99000549316406,145.38999938964844,128.54310607910156,6112700
2020-01-10,145.75,146.17999267578125,144.89999389648438,145.05999755859375,128.25131225585938,5042600
2020-01-13,145.47999572753906,145.7899932861328,144.72000122070312,145.6999969482422,128.81715393066406,4593200
2020-01-14,145.0500030517578,146.61000061035156,144.72999572753906,146.52000427246094,129.54214477539062,7037500
2020-01-15,146.39999389648438,147.39999389648438,146.24000549316406,147.00999450683594,129.9754180908203,4960300
2020-01-16,147.4199981689453,148.83999633789062,146.1999969482422,148.1999969482422,131.02748107910156,6476000
2020-01-17,148.41000366210938,149.41000366210938,147.92999267578125,149.1699981689453,131.88510131835938,9083600
2020-01-21,148.5800018310547,150.1699981689453,148.5,149.27000427246094,131.9735107421875,9543900
2020-01-22,146.6999969482422,149.17999267578125,146.0,148.25,131.07171630859375,10305300
2020-01-23,148.0399932861328,148.77000427246094,146.75999450683594,148.52999877929688,131.3192901611328,8671900
2020-01-24,148.5800018310547,148.9499969482422,147.92999267578125,148.32000732421875,131.1336212158203,9051900
2020-01-27,147.52000427246094,149.4600067138672,147.0,148.75,131.51376342773438,7587100
2020-01-28,148.4600067138672,150.57000732421875,148.14999389648438,149.5,132.17686462402344,7336600
2020-01-29,149.4499969482422,151.19000244140625,149.1300048828125,150.5399932861328,133.09634399414062,6288600
2020-01-30,150.02999877929688,150.50999450683594,149.0500030517578,150.36000061035156,132.9372100830078,6470600
2020-01-31,149.75,150.0,148.63999938964844,148.8699951171875,131.61985778808594,8651700
2020-02-03,149.4199981689453,150.49000549316406,149.24000549316406,150.1699981689453,132.7692108154297,5765200
2020-02-04,151.49000549316406,152.75,151.1999969482422,151.60000610351562,134.03353881835938,6541400
2020-02-05,151.72000122070312,154.02000427246094,151.30999755859375,153.99000549316406,136.1466064453125,5979900
2020-02-06,154.25,154.5,152.74000549316406,153.52999877929688,135.7398681640625,6201200
