Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,124.66000366210938,126.2699966430664,124.2300033569336,125.8499984741211,118.20313262939453,2708000
2020-01-03,124.31999969482422,125.0999984741211,123.94000244140625,124.5999984741211,117.02908325195312,2090600
2020-01-06,123.37000274658203,124.16000366210938,123.12000274658203,124.05999755859375,116.52188110351562,2855200
2020-01-07,123.47000122070312,124.4000015258789,123.36000061035156,123.41000366210938,115.91139221191406,2042300
2020-01-08,124.05000305175781,126.36000061035156,123.80000305175781,125.54000091552734,117.9119644165039,3458200
2020-01-09,126.48999786376953,127.87999725341797,126.38999938964844,127.80999755859375,120.04402160644531,2787100
2020-01-10,127.58000183105469,128.1699981689453,126.91999816894531,127.27999877929688,119.5462417602539,2789200
2020-01-13,127.83999633789062,128.9499969482422,127.62999725341797,128.5399932861328,120.72965240478516,3285700
2020-01-14,128.6199951171875,130.08999633789062,128.33999633789062,128.8000030517578,120.9738540649414,3836000
2020-01-15,128.69000244140625,129.83999633789062,128.4499969482422,129.82000732421875,121.93189239501953,3187200
2020-01-16,130.5,130.92999267578125,129.7100067138672,130.5500030517578,122.61756134033203,2424500
2020-01-17,131.4499969482422,131.86000061035156,130.7899932861328,131.52000427246094,123.52859497070312,3659400
2020-01-21,131.11000061035156,131.82000732421875,130.38999938964844,130.52999877929688,122.59877014160156,3102700
2020-01-22,130.92999267578125,132.27000427246094,130.92999267578125,131.49000549316406,123.50043487548828,2483800
2020-01-23,131.25999450683594,131.57000732421875,130.13999938964844,131.3699951171875,123.3877182006836,3841000
2020-01-24,136.36000061035156,138.1300048828125,133.85000610351562,135.11000061035156,126.90045166015625,8612500
2020-01-27,131.14999389648438,131.97999572753906,128.8699951171875,130.63999938964844,122.70207977294922,6432400
2020-01-28,132.0,133.8699951171875,131.13999938964844,132.4499969482422,124.402099609375,3712700
2020-01-29,132.47999572753906,133.1300048828125,131.44000244140625,131.67999267578125,123.67887878417969,2518400
2020-01-30,130.75,133.3300018310547,130.44000244140625,133.22000122070312,125.12531280517578,2428500
2020-01-31,132.1699981689453,132.25,129.3800048828125,129.8699951171875,121.97885131835938,3522600
2020-02-03,130.5500030517578,132.22000122070312,130.4499969482422,131.0,123.04020690917969,2721900
