date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,-2.0,33.28272247314453,0.013265522158659615,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.005575282867429682,0,0,0,-0.01,0.0,32.99436569213867,-0.01141868198213114,-0.015575282867429683,2.707195281982422,303.0,10000.0
2023-01-30,0,0.013749382200010068,0,0,0,0.0,2.0,32.810874938964844,-0.025624018552905303,0.013749382200010068,2.707195281982422,303.0,9944.40230178833
2023-01-31,2,0.0,0,0,0,-0.01,0.0,33.26524353027344,0.02166319670798822,-0.01,10082.075984954834,0.0,10082.075984954834
2023-02-01,0,0.0,0,0,0,0.0,0.0,33.63224029541016,0.07520441628287955,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-02,0,0.0,0,0,0,0.0,0.0,33.84194564819336,0.1067175109696464,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-03,0,0.0,0,0,0,0.0,0.0,33.48369216918945,0.07405463456434319,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-06,0,0.0,0,0,0,0.0,-2.0,33.14291763305664,0.023972037447130334,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-07,0,0.0,0,0,0,0.0,0.0,32.82835006713867,-0.02166028361371991,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-08,0,0.0,0,0,0,0.0,0.0,32.819610595703125,-0.03089514308135935,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-09,0,0.0,0,0,0,0.0,0.0,32.6186408996582,-0.041073466975557,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-10,0,0.0,0,0,0,0.0,0.0,32.111839294433594,-0.07531400218370154,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-13,0,0.0,0,0,0,0.0,2.0,32.19921875,-0.06008497487654341,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-14,0,0.0,0,0,0,0.0,0.0,33.09922409057617,0.041216162265608425,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-15,0,0.0,0,0,0,0.0,0.0,33.15165328979492,0.08262046770705797,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-16,0,0.0,0,0,0,0.0,0.0,33.195343017578125,0.09248797697110472,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-17,0,0.0,0,0,0,0.0,0.0,32.89825439453125,0.05827883587229804,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-21,0,0.0,0,0,0,0.0,0.0,33.335147857666016,0.07598321372049503,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-22,0,0.0,0,0,0,0.0,0.0,33.46622085571289,0.08212457711228709,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-23,0,0.0,0,0,0,0.0,0.0,33.34388732910156,0.059853995130258714,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-24,0,0.0,0,0,0,0.0,0.0,33.58854675292969,0.06162531723913948,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-27,0,0.0,0,0,0,0.0,0.0,33.780784606933594,0.06641083918527124,0.0,10082.075984954834,0.0,10082.075984954834
2023-02-28,0,0.0,0,0,0,0.0,-2.0,33.7633056640625,0.05238419349306017,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-01,0,0.0,0,0,0,0.0,0.0,33.25650787353516,-0.008830840981790655,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-02,0,0.0,0,0,0,0.0,0.0,33.0730094909668,-0.0485311103238964,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-03,0,0.0,0,0,0,0.0,0.0,33.370094299316406,-0.03121296267183385,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-06,0,0.0,0,0,0,0.0,0.0,33.23902893066406,-0.03224845923841502,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-07,0,0.0,0,0,0,0.0,0.0,33.300201416015625,-0.02283610829362332,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-08,0,0.0,0,0,0,0.0,0.0,32.67106628417969,-0.07007254385214091,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-09,0,0.0,0,0,0,0.0,0.0,32.94194412231445,-0.05134744910832819,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-10,0,0.0,0,0,0,0.0,0.0,32.91572570800781,-0.03638152965575529,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-13,0,0.0,0,0,0,0.0,0.0,32.88077545166016,-0.025638748147522455,0.0,10082.075984954834,0.0,10082.075984954834
2023-03-14,0,0.0,0,0,0,0.0,0.0,32.19921875,-0.07338145708960209,0.0,10082.075984954834,0.0,10082.075984954834
