date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0.0,0.0,0.0,56.84135055541992,0.06185089044980596,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.012750976434619627,0,0,0.0,-0.01,0.0,58.09332275390625,0.15472079058194443,-0.022750976434619628,7.948486328125,172.0,10000.0
2023-01-30,2,0.0,0,0,0.0,-0.01,-2.0,57.356693267822266,0.08631909495542178,-0.01,9873.299728393555,0.0,9873.299728393555
2023-01-31,0,0.0,0,0,0.0,0.0,0.0,56.43082427978516,-0.046670661616196596,0.0,9873.299728393555,0.0,9873.299728393555
2023-02-01,0,0.0,0,0,0.0,0.0,2.0,56.77632522583008,-0.06976623424382034,0.0,9873.299728393555,0.0,9873.299728393555
2023-02-02,0,0.0,0,0,0.0,0.0,0.0,58.49803161621094,0.07075476871470376,0.0,9873.299728393555,0.0,9873.299728393555
2023-02-03,0,0.0,0,0,0.0,0.0,0.0,58.7911262512207,0.12253577875455712,0.0,9873.299728393555,0.0,9873.299728393555
2023-02-06,0,0.0,0,0,0.0,0.0,0.0,58.00015258789063,0.037498253347110655,0.0,9873.299728393555,0.0,9873.299728393555
2023-02-07,0,0.0,0,0,0.0,0.0,0.0,58.357303619384766,0.015271374901259627,0.0,9873.299728393555,0.0,9873.299728393555
2023-02-08,0,0.0,0,0,0.0,0.0,-2.0,59.6335334777832,0.09863841785763383,0.0,9873.299728393555,0.0,9873.299728393555
2023-02-09,0,0.0,0,0,0.0,0.0,0.0,58.3970947265625,-0.011158994032160585,0.0,9873.299728393555,0.0,9873.299728393555
