date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,2.0,156.81500244140625,-0.004701125659628769,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.008724571093624138,0,0,0,0.01,0.0,159.5079803466797,0.1683591801011164,0.01872457109362414,110.50521850585938,62.0,10000.0
2023-01-30,0,0.0009973503946674824,0,0,0,0.0,0.0,160.92132568359375,0.27083527916393635,0.0009973503946674824,110.50521850585938,62.0,10087.627410888672
2023-01-31,2,0.0,0,0,0,-0.01,0.0,161.08367919921875,0.2173289442459403,-0.01,10097.693328857422,0.0,10097.693328857422
2023-02-01,0,0.0,0,0,0,0.0,0.0,164.3878631591797,0.38188376537768587,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-02,0,0.0,0,0,0,0.0,0.0,169.1053924560547,0.7118990311150135,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-03,0,0.0,0,0,0,0.0,0.0,172.86795043945312,0.9499501116057498,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-06,0,0.0,0,0,0,0.0,-2.0,168.7998046875,0.4247538324940958,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-07,0,0.0,0,0,0,0.0,0.0,166.01132202148438,-0.1837474123669205,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-08,0,0.0,0,0,0,0.0,0.0,166.88986206054688,-0.3962524355440529,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-09,0,0.0,0,0,0,0.0,0.0,164.0536346435547,-0.7370645030625189,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-10,0,0.0,0,0,0,0.0,0.0,163.6525421142578,-0.8430431516669397,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-13,0,0.0,0,0,0,0.0,0.0,162.3633270263672,-0.9060843834670473,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-14,0,0.0,0,0,0,0.0,0.0,165.51473999023438,-0.546612520032969,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-15,0,0.0,0,0,0,0.0,2.0,164.4864959716797,-0.4458220034182736,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-16,0,0.0,0,0,0,0.0,0.0,169.14712524414062,0.03673799556462298,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-17,0,0.0,0,0,0,0.0,-2.0,167.72491455078125,0.050889921867557586,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-21,0,0.0,0,0,0,0.0,0.0,166.4564666748047,-0.09721917967016114,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-22,0,0.0,0,0,0,0.0,0.0,159.7297821044922,-0.7445967950869538,0.0,10097.693328857422,0.0,10097.693328857422
2023-02-23,0,0.0,0,0,0,0.0,0.0,159.2493133544922,-0.911568825866462,0.0,10097.693328857422,0.0,10097.693328857422
