date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,56.84135055541992,0.06185089044980596,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.012750976434619627,0,0,0,-0.01,0.0,58.09332275390625,0.15472079058194443,-0.022750976434619628,7.948486328125,172.0,10000.0
2023-01-30,0,-0.016260798421219982,0,0,0,0.0,-2.0,57.356693267822266,0.08631909495542178,-0.016260798421219982,7.948486328125,172.0,9873.299728393555
2023-01-31,2,0.0,0,0,0,0.01,0.0,56.43082427978516,-0.046670661616196596,0.01,9714.050262451174,0.0,9714.050262451174
2023-02-01,0,0.0,0,0,0,0.0,2.0,56.77632522583008,-0.06976623424382034,0.0,9714.050262451174,0.0,9714.050262451174
2023-02-02,1,0.004996090213973776,0,0,0,0.01,0.0,58.49803161621094,0.07075476871470376,0.014996090213973776,3.377014160158069,166.0,9714.050262451174
2023-02-03,0,-0.013540570740112296,0,0,0,0.0,0.0,58.7911262512207,0.12253577875455712,-0.013540570740112296,3.377014160158069,166.0,9762.703971862795
2023-02-06,0,0.006136732816331586,0,0,0,0.0,0.0,58.00015258789063,0.037498253347110655,0.006136732816331586,3.377014160158069,166.0,9631.402343750004
2023-02-07,0,0.02162608012353706,0,0,0,0.0,0.0,58.357303619384766,0.015271374901259627,0.02162608012353706,3.377014160158069,166.0,9690.68941497803
2023-02-08,0,-0.02094469685081675,0,0,0,0.0,-2.0,59.6335334777832,0.09863841785763383,-0.02094469685081675,3.377014160158069,166.0,9902.54357147217
2023-02-09,0,-0.003828387047319274,0,0,0,0.0,0.0,58.3970947265625,-0.011158994032160585,-0.003828387047319274,3.377014160158069,166.0,9697.294738769533
2023-02-10,0,-0.010326307186091666,0,0,0,0.0,0.0,58.17387771606445,-0.08516629278603616,-0.010326307186091666,3.377014160158069,166.0,9660.240715026857
2023-02-13,0,0.013173985289172432,0,0,0,0.0,0.0,57.5760383605957,-0.16345511295149562,0.013173985289172432,3.377014160158069,166.0,9560.999382019045
2023-02-14,0,0.001977027028517053,0,0,0,0.0,0.0,58.3398323059082,-0.10987662320491554,0.001977027028517053,3.377014160158069,166.0,9687.78917694092
2023-02-15,0,0.00888949821616373,0,0,0,0.0,0.0,58.455326080322266,-0.07125402224532662,0.00888949821616373,3.377014160158069,166.0,9706.961143493654
