Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,243.0800018310547,245.75,237.39999389648438,239.5800018310547,236.18353271484375,25740000
2023-01-04,232.27999877929688,232.8699951171875,225.9600067138672,229.10000610351562,225.8520965576172,50623400
2023-01-05,227.1999969482422,227.5500030517578,221.75999450683594,222.30999755859375,219.15835571289062,39585600
2023-01-06,223.0,225.75999450683594,219.35000610351562,224.92999267578125,221.7412109375,43613600
2023-01-09,226.4499969482422,231.24000549316406,226.41000366210938,227.1199951171875,223.90017700195312,27369800
2023-01-10,227.75999450683594,231.30999755859375,227.3300018310547,228.85000610351562,225.60562133789062,27033900
2023-01-11,231.2899932861328,235.9499969482422,231.11000061035156,235.77000427246094,232.4275360107422,28669300
2023-01-12,235.25999450683594,239.89999389648438,233.55999755859375,238.50999450683594,235.128662109375,27269500
2023-01-13,237.0,239.3699951171875,234.9199981689453,239.22999572753906,235.83848571777344,21333300
2023-01-17,237.97000122070312,240.91000366210938,237.08999633789062,240.35000610351562,236.94261169433594,29831300
2023-01-18,241.57000732421875,242.3800048828125,235.52000427246094,235.80999755859375,232.4669647216797,30028700
2023-01-19,233.77999877929688,235.52000427246094,230.67999267578125,231.92999267578125,228.6419677734375,28623000
2023-01-20,234.86000061035156,240.74000549316406,234.50999450683594,240.22000122070312,236.814453125,35389800
2023-01-23,241.10000610351562,245.1699981689453,239.64999389648438,242.5800018310547,239.14097595214844,31934000
2023-01-24,242.5,243.9499969482422,240.44000244140625,242.0399932861328,238.608642578125,40234400
2023-01-25,234.47999572753906,243.3000030517578,230.89999389648438,240.61000061035156,237.1989288330078,66526600
2023-01-26,243.64999389648438,248.30999755859375,242.0,248.0,244.48414611816406,33454500
2023-01-27,248.99000549316406,249.8300018310547,246.8300018310547,248.16000366210938,244.6418914794922,26498900
2023-01-30,244.50999450683594,245.60000610351562,242.1999969482422,242.7100067138672,239.26914978027344,25867400
2023-01-31,243.4499969482422,247.9499969482422,242.9499969482422,247.80999755859375,244.29684448242188,26541100
2023-02-01,248.0,255.17999267578125,245.47000122070312,252.75,249.1668243408203,31259900
2023-02-02,258.82000732421875,264.69000244140625,257.25,264.6000061035156,260.84881591796875,39940400
2023-02-03,259.5400085449219,264.20001220703125,257.1000061035156,258.3500061035156,254.6874237060547,29077300
2023-02-06,257.44000244140625,258.29998779296875,254.77999877929688,256.7699890136719,253.12982177734375,22518000
2023-02-07,260.5299987792969,268.7699890136719,260.0799865722656,267.55999755859375,263.766845703125,50841400
2023-02-08,273.20001220703125,276.760009765625,266.2099914550781,266.7300109863281,262.9486389160156,54686000
2023-02-09,273.79998779296875,273.9800109863281,262.79998779296875,263.6199951171875,259.8826904296875,42375100
2023-02-10,261.5299987792969,264.0899963378906,260.6600036621094,263.1000061035156,259.3701171875,25818500
2023-02-13,267.6400146484375,274.6000061035156,267.1499938964844,271.32000732421875,267.4735107421875,44630900
2023-02-14,272.6700134277344,274.9700012207031,269.2799987792969,272.1700134277344,268.3115234375,37047900
2023-02-15,268.32000732421875,270.7300109863281,266.17999267578125,269.32000732421875,266.16693115234375,28922400
2023-02-16,264.0199890136719,266.739990234375,261.8999938964844,262.1499938964844,259.0808410644531,29603600
2023-02-17,259.3900146484375,260.0899963378906,256.0,258.05999755859375,255.03872680664062,30000100
2023-02-21,254.47999572753906,255.49000549316406,251.58999633789062,252.6699981689453,249.7118377685547,28397400
